iter	Passed	Remaining
0	159	159138
1	161	80551
2	163	54315
3	166	41503
4	168	33586
5	171	28374
6	173	24590
7	175	21702
8	176	19469
9	178	17664
10	181	16277
11	182	15029
12	183	13960
13	185	13057
14	186	12262
15	187	11554
16	188	10927
17	190	10376
18	191	9875
19	194	9506
20	195	9134
21	197	8764
22	198	8449
23	200	8139
24	201	7850
25	202	7585
26	203	7333
27	204	7102
28	205	6882
29	207	6720
30	209	6562
31	211	6384
32	212	6222
33	213	6063
34	214	5912
35	215	5772
36	216	5637
37	217	5512
38	218	5393
39	220	5285
40	221	5191
41	223	5099
42	226	5051
43	229	4981
44	232	4930
45	233	4845
46	234	4758
47	235	4678
48	237	4616
49	241	4580
50	242	4509
51	243	4443
52	245	4381
53	246	4324
54	248	4269
55	249	4208
56	250	4151
57	254	4134
58	257	4106
59	259	4058
60	260	4008
61	261	3957
62	262	3905
63	263	3855
64	264	3808
65	266	3769
66	268	3732
67	270	3713
68	272	3672
69	273	3635
70	274	3595
71	275	3555
72	276	3516
73	277	3478
74	278	3440
75	280	3404
76	281	3370
77	282	3341
78	285	3332
79	287	3303
80	288	3272
81	289	3240
82	290	3204
83	291	3174
84	292	3146
85	293	3118
86	294	3089
87	295	3062
88	296	3037
89	298	3016
90	301	3009
91	302	2985
92	303	2963
93	305	2941
94	306	2917
95	307	2893
96	308	2870
97	310	2854
98	311	2834
99	313	2824
100	315	2808
101	316	2789
102	318	2769
103	319	2748
104	319	2727
105	320	2707
106	322	2687
107	323	2668
108	324	2649
109	325	2631
110	326	2617
111	329	2616
112	331	2599
113	332	2583
114	333	2567
115	334	2551
116	335	2534
117	336	2518
118	337	2502
119	338	2485
120	340	2475
121	343	2469
122	345	2464
123	346	2450
124	347	2435
125	348	2420
126	349	2404
127	356	2431
128	358	2419
129	361	2416
130	362	2404
131	363	2390
132	364	2377
133	365	2363
134	366	2350
135	367	2337
136	369	2324
137	370	2313
138	371	2303
139	374	2300
140	376	2290
141	376	2277
142	378	2267
143	379	2256
144	380	2244
145	381	2233
146	382	2221
147	383	2210
148	385	2200
149	386	2191
150	389	2190
151	391	2182
152	392	2172
153	393	2162
154	394	2151
155	395	2140
156	396	2130
157	398	2121
158	399	2111
159	400	2101
160	401	2090
161	402	2083
162	405	2082
163	406	2072
164	407	2062
165	408	2053
166	409	2043
167	410	2033
168	411	2023
169	412	2013
170	413	2004
171	414	1995
172	416	1989
173	419	1989
174	420	1982
175	421	1974
176	423	1967
177	424	1960
178	426	1956
179	427	1949
180	429	1942
181	430	1935
182	432	1930
183	434	1925
184	435	1916
185	436	1908
186	437	1901
187	438	1893
188	439	1886
189	440	1878
190	441	1870
191	442	1863
192	443	1856
193	445	1848
194	446	1843
195	447	1836
196	448	1829
197	449	1821
198	450	1814
199	451	1806
200	452	1800
201	453	1793
202	454	1786
203	456	1779
204	457	1772
205	458	1765
206	459	1759
207	460	1753
208	461	1748
209	462	1741
210	463	1734
211	465	1728
212	466	1723
213	467	1716
214	468	1710
215	469	1704
216	470	1698
217	471	1691
218	472	1685
219	473	1678
220	474	1672
221	476	1668
222	477	1663
223	478	1657
224	479	1652
225	480	1646
226	481	1640
227	482	1635
228	484	1630
229	485	1624
230	486	1619
231	487	1613
232	488	1607
233	489	1602
234	491	1598
235	492	1593
236	493	1587
237	494	1582
238	495	1576
239	496	1570
240	497	1565
241	498	1560
242	499	1554
243	500	1549
244	501	1544
245	502	1538
246	503	1533
247	504	1528
248	505	1525
249	507	1522
250	508	1518
251	510	1514
252	511	1509
253	512	1504
254	513	1499
255	514	1494
256	515	1489
257	516	1485
258	517	1480
259	518	1475
260	519	1470
261	520	1466
262	522	1463
263	524	1460
264	525	1456
265	526	1452
266	527	1447
267	528	1442
268	529	1438
269	530	1433
270	531	1429
271	532	1425
272	533	1420
273	534	1416
274	535	1412
275	537	1410
276	539	1407
277	540	1404
278	541	1399
279	542	1395
280	544	1392
281	545	1387
282	545	1383
283	546	1378
284	548	1374
285	549	1371
286	550	1367
287	552	1364
288	554	1365
289	556	1362
290	558	1359
291	559	1356
292	560	1352
293	561	1349
294	563	1346
295	564	1342
296	565	1339
297	567	1336
298	569	1335
299	571	1332
300	572	1328
301	573	1324
302	574	1321
303	575	1317
304	576	1313
305	588	1335
306	589	1331
307	591	1328
308	592	1324
309	593	1320
310	594	1316
311	595	1312
312	596	1309
313	597	1305
314	600	1306
315	602	1303
316	603	1300
317	604	1296
318	605	1293
319	606	1289
320	607	1285
321	608	1282
322	609	1278
323	610	1274
324	612	1271
325	614	1270
326	617	1269
327	618	1267
328	619	1264
329	621	1261
330	622	1257
331	623	1254
332	624	1251
333	625	1248
334	627	1245
335	629	1243
336	631	1242
337	632	1238
338	633	1235
339	634	1232
340	636	1229
341	637	1225
342	638	1222
343	639	1219
344	640	1215
345	641	1212
346	642	1209
347	645	1209
348	646	1206
349	647	1202
350	648	1199
351	649	1195
352	650	1192
353	651	1189
354	652	1185
355	653	1182
356	654	1178
357	655	1175
358	656	1172
359	657	1169
360	658	1166
361	659	1162
362	660	1159
363	661	1156
364	662	1153
365	663	1150
366	664	1146
367	665	1143
368	666	1140
369	667	1137
370	668	1134
371	669	1130
372	671	1128
373	672	1125
374	673	1121
375	674	1118
376	674	1115
377	675	1112
378	676	1109
379	677	1105
380	678	1102
381	679	1099
382	680	1096
383	681	1093
384	682	1090
385	683	1087
386	684	1084
387	685	1081
388	686	1078
389	687	1075
390	688	1072
391	689	1069
392	690	1066
393	691	1064
394	692	1061
395	693	1058
396	694	1055
397	695	1052
398	696	1049
399	697	1046
400	698	1043
401	699	1041
402	700	1038
403	701	1035
404	703	1033
405	706	1033
406	707	1030
407	708	1028
408	709	1025
409	710	1023
410	712	1020
411	713	1017
412	714	1015
413	715	1012
414	716	1010
415	717	1007
416	720	1006
417	721	1004
418	722	1001
419	723	999
420	724	996
421	725	993
422	726	991
423	727	988
424	728	986
425	729	983
426	730	980
427	731	978
428	733	976
429	735	975
430	737	973
431	738	971
432	740	969
433	741	966
434	742	964
435	743	961
436	744	959
437	745	956
438	746	954
439	748	952
440	750	951
441	752	949
442	753	947
443	754	944
444	755	942
445	756	939
446	757	936
447	758	934
448	759	932
449	760	929
450	762	927
451	763	925
452	765	924
453	766	922
454	768	920
455	769	917
456	770	915
457	771	912
458	772	910
459	773	908
460	774	905
461	775	903
462	776	900
463	777	898
464	779	896
465	781	895
466	782	893
467	783	891
468	785	888
469	786	886
470	787	884
471	788	882
472	790	880
473	791	878
474	793	877
475	796	876
476	797	874
477	798	872
478	799	869
479	800	867
480	801	865
481	802	862
482	804	860
483	804	858
484	806	855
485	807	853
486	808	851
487	811	851
488	812	849
489	814	847
490	815	845
491	816	843
492	826	849
493	828	849
494	830	847
495	831	844
496	832	842
497	833	840
498	834	838
499	835	835
500	837	834
501	838	832
502	841	831
503	843	829
504	844	827
505	845	825
506	846	822
507	847	820
508	848	818
509	849	816
510	850	813
511	851	811
512	853	809
513	854	808
514	857	807
515	858	805
516	859	803
517	860	801
518	862	798
519	863	796
520	864	794
521	865	792
522	865	789
523	867	788
524	868	785
525	869	783
526	870	781
527	871	779
528	873	777
529	874	775
530	875	772
531	876	770
532	877	768
533	878	766
534	879	764
535	880	762
536	881	760
537	882	758
538	883	755
539	884	753
540	885	751
541	886	749
542	887	746
543	888	744
544	889	742
545	890	740
546	891	738
547	892	736
548	893	733
549	894	731
550	895	729
551	896	727
552	897	725
553	898	723
554	899	721
555	900	719
556	901	717
557	902	715
558	903	712
559	904	710
560	905	708
561	906	706
562	907	704
563	908	702
564	909	700
565	910	698
566	911	696
567	912	694
568	914	692
569	916	691
570	917	689
571	918	687
572	919	685
573	920	683
574	922	681
575	923	679
576	924	677
577	925	675
578	926	673
579	927	671
580	928	669
581	930	667
582	932	667
583	933	665
584	935	663
585	936	661
586	937	659
587	938	657
588	939	655
589	941	653
590	942	652
591	943	650
592	945	648
593	947	647
594	948	645
595	949	643
596	951	641
597	952	640
598	953	638
599	955	636
600	956	634
601	957	632
602	958	631
603	959	629
604	962	628
605	964	626
606	965	624
607	966	622
608	967	621
609	968	619
610	970	617
611	971	615
612	972	613
613	973	612
614	975	610
615	978	609
616	979	608
617	981	606
618	982	604
619	984	603
620	985	601
621	986	599
622	988	597
623	990	596
624	993	595
625	994	594
626	995	592
627	997	590
628	998	588
629	999	587
630	1000	585
631	1001	583
632	1003	581
633	1004	580
634	1007	579
635	1009	577
636	1010	576
637	1012	574
638	1013	572
639	1014	570
640	1016	569
641	1017	567
642	1019	565
643	1022	565
644	1024	563
645	1025	562
646	1026	560
647	1028	558
648	1029	556
649	1030	555
650	1031	553
651	1033	551
652	1035	550
653	1038	549
654	1039	547
655	1040	545
656	1042	544
657	1043	542
658	1044	540
659	1045	538
660	1046	536
661	1047	535
662	1049	533
663	1051	531
664	1052	530
665	1053	528
666	1054	526
667	1056	524
668	1058	523
669	1059	521
670	1060	520
671	1061	518
672	1062	516
673	1063	514
674	1065	512
675	1066	511
676	1067	509
677	1068	507
678	1069	505
679	1070	503
680	1072	502
681	1073	500
682	1075	498
683	1076	497
684	1077	495
685	1078	493
686	1079	491
687	1080	489
688	1081	488
689	1082	486
690	1083	484
691	1084	482
692	1085	480
693	1086	479
694	1087	477
695	1088	475
696	1089	473
697	1090	471
698	1091	469
699	1092	468
700	1093	466
701	1094	464
702	1095	462
703	1096	460
704	1097	459
705	1098	457
706	1099	455
707	1100	453
708	1102	452
709	1103	450
710	1104	448
711	1105	447
712	1106	445
713	1107	443
714	1108	441
715	1109	439
716	1110	438
717	1111	436
718	1112	434
719	1113	432
720	1114	431
721	1115	429
722	1117	427
723	1118	426
724	1118	424
725	1119	422
726	1120	420
727	1121	419
728	1122	417
729	1123	415
730	1124	413
731	1125	412
732	1126	410
733	1127	408
734	1128	406
735	1129	405
736	1131	403
737	1132	402
738	1133	400
739	1134	398
740	1135	396
741	1136	395
742	1137	393
743	1138	391
744	1139	390
745	1140	388
746	1141	386
747	1142	385
748	1143	383
749	1145	381
750	1147	380
751	1148	378
752	1149	377
753	1150	375
754	1151	373
755	1152	371
756	1153	370
757	1154	368
758	1155	366
759	1156	365
760	1157	363
761	1158	361
762	1159	360
763	1160	358
764	1162	357
765	1163	355
766	1164	353
767	1166	352
768	1167	350
769	1168	348
770	1169	347
771	1170	345
772	1171	344
773	1172	342
774	1173	340
775	1174	339
776	1176	337
777	1177	335
778	1178	334
779	1179	332
780	1180	331
781	1181	329
782	1182	327
783	1183	326
784	1184	324
785	1185	322
786	1186	321
787	1187	319
788	1188	317
789	1189	316
790	1191	314
791	1193	313
792	1194	311
793	1195	310
794	1196	308
795	1197	306
796	1198	305
797	1199	303
798	1200	301
799	1201	300
800	1202	298
801	1203	297
802	1204	295
803	1205	293
804	1207	292
805	1207	290
806	1208	289
807	1210	287
808	1211	285
809	1212	284
810	1213	282
811	1215	281
812	1216	279
813	1217	278
814	1218	276
815	1218	274
816	1220	273
817	1221	271
818	1222	270
819	1223	268
820	1224	267
821	1225	265
822	1226	263
823	1227	262
824	1228	260
825	1229	259
826	1230	257
827	1231	255
828	1232	254
829	1233	252
830	1234	251
831	1235	249
832	1237	248
833	1239	246
834	1240	245
835	1241	243
836	1242	241
837	1243	240
838	1244	238
839	1245	237
840	1246	235
841	1247	234
842	1248	232
843	1249	231
844	1250	229
845	1252	227
846	1255	226
847	1256	225
848	1257	223
849	1258	222
850	1259	220
851	1261	219
852	1262	217
853	1263	215
854	1264	214
855	1265	212
856	1266	211
857	1269	210
858	1270	208
859	1271	207
860	1272	205
861	1274	203
862	1275	202
863	1284	202
864	1285	200
865	1288	199
866	1289	197
867	1290	196
868	1291	194
869	1292	193
870	1293	191
871	1294	190
872	1295	188
873	1297	186
874	1298	185
875	1300	184
876	1301	182
877	1302	181
878	1304	179
879	1305	177
880	1306	176
881	1307	174
882	1308	173
883	1309	171
884	1310	170
885	1311	168
886	1312	167
887	1314	165
888	1316	164
889	1317	162
890	1318	161
891	1319	159
892	1320	158
893	1321	156
894	1322	155
895	1323	153
896	1324	152
897	1325	150
898	1327	149
899	1328	147
900	1331	146
901	1332	144
902	1333	143
903	1335	141
904	1336	140
905	1337	138
906	1338	137
907	1339	135
908	1341	134
909	1342	132
910	1343	131
911	1346	129
912	1347	128
913	1348	126
914	1349	125
915	1350	123
916	1351	122
917	1353	120
918	1354	119
919	1354	117
920	1355	116
921	1357	114
922	1358	113
923	1360	111
924	1362	110
925	1363	108
926	1364	107
927	1366	105
928	1367	104
929	1368	103
930	1369	101
931	1370	100
932	1371	98
933	1373	97
934	1374	95
935	1376	94
936	1378	92
937	1379	91
938	1380	89
939	1381	88
940	1382	86
941	1383	85
942	1384	83
943	1385	82
944	1387	80
945	1388	79
946	1391	77
947	1392	76
948	1393	74
949	1394	73
950	1395	71
951	1396	70
952	1397	68
953	1398	67
954	1399	65
955	1400	64
956	1402	62
957	1403	61
958	1406	60
959	1407	58
960	1408	57
961	1410	55
962	1411	54
963	1412	52
964	1413	51
965	1414	49
966	1415	48
967	1416	46
968	1417	45
969	1419	43
970	1423	42
971	1425	41
972	1427	39
973	1429	38
974	1430	36
975	1431	35
976	1433	33
977	1435	32
978	1437	30
979	1438	29
980	1439	27
981	1440	26
982	1442	24
983	1443	23
984	1444	21
985	1445	20
986	1447	19
987	1450	17
988	1452	16
989	1454	14
990	1455	13
991	1457	11
992	1459	10
993	1461	8
994	1462	7
995	1464	5
996	1466	4
997	1467	2
998	1469	1
999	1470	0
