iter	Passed	Remaining
0	127	127289
1	131	65856
2	137	45603
3	144	35899
4	149	29719
5	154	25615
6	159	22691
7	165	20494
8	170	18747
9	173	17195
10	176	15827
11	179	14742
12	181	13751
13	182	12872
14	184	12122
15	186	11452
16	187	10836
17	188	10288
18	190	9820
19	192	9440
20	194	9055
21	195	8687
22	196	8353
23	197	8042
24	198	7751
25	199	7487
26	200	7236
27	201	7004
28	202	6789
29	204	6600
30	206	6440
31	207	6279
32	208	6111
33	209	5954
34	210	5805
35	211	5668
36	212	5533
37	213	5411
38	215	5300
39	216	5199
40	218	5115
41	219	5014
42	221	4920
43	222	4825
44	223	4733
45	223	4645
46	224	4560
47	225	4482
48	226	4403
49	227	4328
50	228	4258
51	230	4204
52	232	4148
53	233	4094
54	234	4035
55	235	3976
56	236	3920
57	238	3866
58	239	3812
59	240	3760
60	241	3711
61	242	3663
62	244	3630
63	245	3587
64	246	3545
65	247	3502
66	248	3461
67	249	3414
68	250	3374
69	251	3336
70	252	3299
71	253	3262
72	254	3226
73	255	3191
74	257	3172
75	258	3145
76	259	3116
77	261	3086
78	262	3057
79	263	3030
80	264	3002
81	265	2973
82	266	2945
83	267	2919
84	268	2891
85	270	2874
86	271	2849
87	272	2825
88	273	2800
89	274	2775
90	275	2751
91	276	2729
92	277	2708
93	278	2686
94	279	2664
95	280	2644
96	282	2631
97	283	2612
98	285	2599
99	286	2580
100	288	2565
101	288	2543
102	290	2527
103	291	2512
104	293	2497
105	294	2481
106	296	2470
107	297	2456
108	298	2441
109	299	2424
110	300	2408
111	301	2392
112	302	2377
113	303	2361
114	304	2345
115	305	2328
116	306	2313
117	308	2303
118	309	2290
119	310	2279
120	311	2265
121	312	2250
122	313	2234
123	314	2220
124	315	2206
125	316	2193
126	317	2180
127	317	2166
128	318	2153
129	320	2142
130	322	2137
131	324	2131
132	325	2119
133	325	2106
134	326	2095
135	327	2083
136	329	2072
137	329	2060
138	330	2049
139	331	2038
140	333	2029
141	335	2028
142	336	2019
143	338	2010
144	339	2000
145	340	1990
146	341	1980
147	342	1970
148	343	1960
149	344	1951
150	345	1942
151	346	1935
152	349	1933
153	350	1926
154	352	1919
155	353	1911
156	354	1902
157	355	1895
158	356	1887
159	357	1878
160	358	1870
161	360	1864
162	362	1861
163	364	1856
164	365	1849
165	366	1842
166	367	1835
167	368	1827
168	370	1819
169	371	1811
170	372	1803
171	373	1796
172	375	1796
173	376	1789
174	378	1783
175	379	1775
176	380	1768
177	381	1760
178	382	1754
179	383	1746
180	383	1737
181	384	1730
182	386	1723
183	387	1719
184	389	1715
185	391	1711
186	392	1704
187	393	1698
188	394	1692
189	395	1685
190	396	1678
191	397	1672
192	398	1666
193	399	1660
194	401	1657
195	403	1654
196	404	1649
197	405	1643
198	406	1637
199	407	1631
200	408	1625
201	410	1619
202	411	1613
203	412	1608
204	413	1603
205	415	1602
206	417	1599
207	418	1593
208	419	1587
209	420	1582
210	421	1577
211	422	1571
212	423	1565
213	424	1560
214	426	1555
215	427	1551
216	428	1547
217	430	1544
218	431	1539
219	432	1534
220	433	1528
221	434	1523
222	435	1518
223	436	1513
224	437	1507
225	438	1502
226	440	1498
227	442	1497
228	443	1494
229	444	1489
230	445	1484
231	446	1479
232	448	1474
233	448	1469
234	450	1464
235	450	1459
236	451	1454
237	453	1450
238	455	1449
239	456	1446
240	457	1441
241	458	1436
242	459	1432
243	460	1428
244	462	1423
245	463	1419
246	464	1414
247	465	1410
248	466	1406
249	468	1405
250	469	1401
251	471	1398
252	472	1394
253	473	1391
254	474	1386
255	475	1382
